Date,open,close,high,low,volumn,price_change,day
2019-05-30,253.35,252,257.45,249.55,131800,0.008,2019-05-30
2019-05-31,249.35,254,256.1,248.25,91410,-0.0158,2019-05-31
2019-06-03,243,250,250,242.05,46300,-0.0255,2019-06-03
2019-06-04,241.85,241.05,246.5,241.05,48580,-0.0047,2019-06-04
2019-06-06,239.8,242,245,238.35,26640,-0.0085,2019-06-06
2019-06-07,236.7,240.05,243,235.65,88440,-0.0129,2019-06-07
2019-06-10,233.6,237.3,239.65,232.55,35910,-0.0131,2019-06-10
2019-06-11,228.8,235.85,237,227.75,80850,-0.0205,2019-06-11
2019-06-12,226.5,227.55,229.75,225.5,41780,-0.0101,2019-06-12
2019-06-13,225.6,227,228.7,224.45,114810,-0.004,2019-06-13
2019-06-14,225.3,226,228.8,225.05,25850,-0.0013,2019-06-14
2019-06-17,221,227.45,227.45,220.7,103110,-0.0191,2019-06-17
2019-06-18,220,221,223,219.65,339770,-0.0045,2019-06-18
2019-06-19,213.45,222.4,222.4,210.1,96450,-0.0298,2019-06-19
2019-06-20,219.1,213.5,221.05,213.5,477620,0.0265,2019-06-20
2019-06-21,216.8,219.1,219.15,215.1,165660,-0.0105,2019-06-21
2019-06-24,215.35,217,219,212.75,18740,-0.0067,2019-06-24
2019-06-25,215.2,218,218,214.4,32640,-0.0007,2019-06-25
2019-06-26,223.2,213.35,233,213.35,253230,0.0372,2019-06-26
2019-06-27,231.95,241,242.9,228.3,1340000,0.0392,2019-06-27
2019-06-28,229.45,234,235.75,227.5,238500,-0.0108,2019-06-28
2019-07-01,228.1,230.85,231.85,227.45,67410,-0.0059,2019-07-01
2019-07-02,225.1,225.55,229.7,224,53970,-0.0132,2019-07-02
2019-07-03,221.7,225.55,225.55,220.1,96990,-0.0151,2019-07-03
2019-07-04,226,222.15,231.9,222.15,90550,0.0194,2019-07-04
2019-07-05,230.65,226.8,235,224.1,170310,0.0206,2019-07-05
2019-07-08,224.9,232.4,232.5,220.7,78090,-0.0249,2019-07-08
2019-07-09,221.6,223,224.9,218.5,127700,-0.0147,2019-07-09
2019-07-10,217.8,220.15,221,217,26950,-0.0171,2019-07-10
2019-07-11,216.25,218.1,220.15,215.6,548610,-0.0071,2019-07-11
2019-07-12,217.15,216.35,218.65,216.35,22860,0.0042,2019-07-12
2019-07-15,219.15,219.95,219.95,217.65,19760,0.0092,2019-07-15
2019-07-16,218,218,219.75,215.05,30940,-0.0052,2019-07-16
2019-07-17,216.3,218.5,220.1,216,44380,-0.0078,2019-07-17
2019-07-18,212.95,215.8,217.55,212.55,32890,-0.0155,2019-07-18
2019-07-19,203.75,216.8,216.8,200.1,294060,-0.0432,2019-07-19
2019-07-22,199.65,203.5,203.5,189,169940,-0.0201,2019-07-22
2019-07-23,199.9,199,208.9,197.5,126450,0.0013,2019-07-23
2019-07-24,196.35,197.5,200.65,194.55,93170,-0.0178,2019-07-24
2019-07-25,194.85,195.2,197.8,194.25,95510,-0.0076,2019-07-25
2019-07-26,194.8,195,196,193.85,42100,-0.0003,2019-07-26
2019-07-29,191.75,193.6,195.5,189.85,74130,-0.0157,2019-07-29
2019-07-30,153.4,153.4,153.4,153.4,122870,-0.2,2019-07-30
2019-07-31,122.75,122.75,122.75,122.75,149670,-0.1998,2019-07-31
2019-08-01,110.5,110.5,110.5,110.5,123260,-0.0998,2019-08-01
2019-08-02,99.45,99.45,99.45,99.45,169350,-0.1,2019-08-02
2019-08-05,89.55,89.55,89.55,89.55,49120,-0.0995,2019-08-05
2019-08-06,85.1,85.1,85.1,85.1,70010,-0.0497,2019-08-06
2019-08-07,80.85,80.85,80.85,80.85,91170,-0.0499,2019-08-07
2019-08-08,76.85,76.85,76.85,76.85,61620,-0.0495,2019-08-08
2019-08-09,73.05,73.05,73.05,73.05,62460,-0.0494,2019-08-09
2019-08-13,69.4,69.4,69.4,69.4,40430,-0.05,2019-08-13
2019-08-14,65.95,65.95,65.95,65.95,473890,-0.0497,2019-08-14
2019-08-16,62.7,62.7,62.7,62.7,283740,-0.0493,2019-08-16
2019-08-19,65.8,65.8,65.8,65.8,2260000,0.0494,2019-08-19
2019-08-20,69.05,69.05,69.05,69.05,219760,0.0494,2019-08-20
2019-08-21,72.5,72.5,72.5,68.6,5110000,0.05,2019-08-21
2019-08-22,76.1,75.45,76.1,74.25,1120000,0.0497,2019-08-22
2019-08-23,79.9,79.5,79.9,76.5,4460000,0.0499,2019-08-23
2019-08-26,83.85,83.5,83.85,83.5,486570,0.0494,2019-08-26
2019-08-27,87.2,88,88,82.6,4020000,0.04,2019-08-27
2019-08-28,82.85,89,89,82.85,1350000,-0.0499,2019-08-28
2019-08-29,78.75,78.75,78.75,78.75,233560,-0.0495,2019-08-29
2019-08-30,74.85,74.85,74.85,74.85,95220,-0.0495,2019-08-30
2019-09-03,71.15,71.15,71.15,71.15,52760,-0.0494,2019-09-03
2019-09-04,67.6,67.6,67.6,67.6,62510,-0.0499,2019-09-04
2019-09-05,64.25,64.25,64.25,64.25,91960,-0.0496,2019-09-05
2019-09-06,61.05,61.05,61.05,61.05,280670,-0.0498,2019-09-06
2019-09-09,64.1,64.1,64.1,64.1,658560,0.05,2019-09-09
2019-09-11,67.3,67.3,67.3,67.3,44360,0.0499,2019-09-11
2019-09-12,70.65,70.65,70.65,70.65,63710,0.0498,2019-09-12
2019-09-13,74.15,74.15,74.15,67.55,3710000,0.0495,2019-09-13
2019-09-16,73.95,76.8,77.85,71.8,3400000,-0.0027,2019-09-16
2019-09-17,72.75,77,77,71.4,1860000,-0.0162,2019-09-17
2019-09-18,72.2,74.15,76.35,71.2,1330000,-0.0076,2019-09-18
2019-09-19,68.6,72.9,73.8,68.6,545890,-0.0499,2019-09-19
2019-09-20,65.2,65.2,68,65.2,1680000,-0.0496,2019-09-20
2019-09-23,61.95,61.95,61.95,61.95,211190,-0.0498,2019-09-23
2019-09-24,58.9,58.9,58.9,58.9,261040,-0.0492,2019-09-24
2019-09-25,56,56,56,56,131010,-0.0492,2019-09-25
2019-09-26,53.2,53.2,53.2,53.2,150120,-0.05,2019-09-26
2019-09-27,50.55,50.55,53,50.55,1660000,-0.0498,2019-09-27
2019-09-30,48.05,48.05,48.05,48.05,179950,-0.0495,2019-09-30
2019-10-01,45.65,45.65,45.65,45.65,54440,-0.0499,2019-10-01
2019-10-03,43.4,43.4,43.4,43.4,163490,-0.0493,2019-10-03
2019-10-04,41.85,41.25,45.55,41.25,5770000,-0.0357,2019-10-04
2019-10-07,43.9,41.5,43.9,41.1,901270,0.049,2019-10-07
2019-10-09,43.7,45.5,45.5,42.75,637960,-0.0046,2019-10-09
2019-10-10,41.9,45.4,45.4,41.55,837890,-0.0412,2019-10-10
2019-10-11,39.85,42,42,39.85,583190,-0.0489,2019-10-11
2019-10-14,37.95,41,41,37.9,419390,-0.0477,2019-10-14
2019-10-15,36.1,37.95,37.95,36.1,569410,-0.0487,2019-10-15
2019-10-16,34.3,34.3,34.4,34.3,190320,-0.0499,2019-10-16
2019-10-17,35.05,32.6,35.95,32.6,1440000,0.0219,2019-10-17
2019-10-18,33.75,36.8,36.8,33.3,1160000,-0.0371,2019-10-18
2019-10-22,32.1,34.8,35.4,32.1,2130000,-0.0489,2019-10-22
2019-10-23,30.5,31.1,32.05,30.5,909190,-0.0498,2019-10-23
2019-10-24,29,30.8,30.8,29,852670,-0.0492,2019-10-24
2019-10-25,29,28.1,30.45,27.55,2870000,0,2019-10-25
2019-10-29,27.75,29.6,29.6,27.75,1460000,-0.0497,2019-10-29
2019-10-30,29.1,27.5,29.1,26.4,1630000,0.0486,2019-10-30
2019-10-31,30.55,30.55,30.55,30.55,379310,0.0498,2019-10-31
2019-11-01,32.05,32.05,32.05,32.05,68990,0.0491,2019-11-01
2019-11-04,33.65,33.65,33.65,33.65,60720,0.0499,2019-11-04
2019-11-05,35.3,35.3,35.3,35.3,49360,0.049,2019-11-05
2019-11-06,37.05,37.05,37.05,37.05,49020,0.0496,2019-11-06
2019-11-07,38.9,38.9,38.9,38.9,40070,0.0499,2019-11-07
2019-11-08,40.8,40.8,40.8,38.1,1860000,0.0488,2019-11-08
2019-11-11,41.2,41.5,41.7,38.8,3240000,0.0098,2019-11-11
2019-11-13,43.25,43.25,43.25,41.2,962550,0.0498,2019-11-13
2019-11-14,43.55,41.1,44.5,41.1,2220000,0.0069,2019-11-14
2019-11-15,45.7,45.7,45.7,45.7,521830,0.0494,2019-11-15
2019-11-18,47.95,47.95,47.95,47.95,233720,0.0492,2019-11-18
2019-11-19,50.3,50.3,50.3,50.3,344980,0.049,2019-11-19
2019-11-20,52.8,52.25,52.8,50.5,1990000,0.0497,2019-11-20
2019-11-21,55.4,55.4,55.4,51.2,2590000,0.0492,2019-11-21
2019-11-22,52.65,57,58,52.65,2210000,-0.0496,2019-11-22
2019-11-25,50.05,55.25,55.25,50.05,2350000,-0.0494,2019-11-25
2019-11-26,47.55,47.55,47.55,47.55,204370,-0.05,2019-11-26
2019-11-27,45.2,45.2,45.2,45.2,104400,-0.0494,2019-11-27
2019-11-28,47.45,42.95,47.45,42.95,2450000,0.0498,2019-11-28
2019-11-29,49.65,49.5,49.8,47.8,2550000,0.0464,2019-11-29
2019-12-02,50.9,50,51.95,47.6,1140000,0.0252,2019-12-02
2019-12-03,48.65,50.8,51.35,48.4,720550,-0.0442,2019-12-03
2019-12-04,48.85,48.8,49.9,47,392980,0.0041,2019-12-04
2019-12-05,47.85,49,49.4,47.3,448130,-0.0205,2019-12-05
2019-12-06,48.15,49,50.25,47.25,667080,0.0063,2019-12-06
2019-12-09,43.85,50,50,41.15,1530000,-0.0893,2019-12-09
2019-12-10,42.4,44.9,44.9,41.7,380460,-0.0331,2019-12-10
2019-12-11,42.2,41,42.7,40.3,353880,-0.0047,2019-12-11
2019-12-12,40.95,40.35,42.2,40.1,224090,-0.0296,2019-12-12
2019-12-13,40.85,40,41.45,39,251430,-0.0024,2019-12-13
2019-12-16,42.85,42.85,42.85,41,1370000,0.049,2019-12-16
2019-12-17,44.95,43.7,44.95,43.7,439730,0.049,2019-12-17
2019-12-18,46.6,47,47.15,46.1,498660,0.0367,2019-12-18
2019-12-19,44.3,44.3,44.3,44.3,79700,-0.0494,2019-12-19
2019-12-20,42.1,42.1,42.1,42.1,109470,-0.0497,2019-12-20
2019-12-23,41.5,40,43.9,40,677800,-0.0143,2019-12-23
